Customer ID|Name|Email|Product Purchased|Purchase Date|Amount Spent ($)|Age|City|Payment Method|Last Login Date|Membership Status
TG-0001|Renata Hernandez|renata.hernandez1@mailinator.com|Auriculares NoiseCancel Pro|2025-11-19|1858.00|16|Medellin|Credit Card|2026-01-15|Platinum
TG-0002|Mateo Garcia|mateo.garcia2@mailinator.com|"Laptop UltraBook 14"""|2026-04-01|559.09|24|Manizales|Debit Card|2026-06-17|Platinum
TG-0003|Nicolas Cruz|nicolas.cruz3@mailinator.com|SSD Externo 1TB|2025-07-20|2026.62|48|Bucaramanga|PayPal|2025-10-09|Gold
TG-0004|Isabella Perez|isabella.perez4@mailinator.com|Teclado Mecanico RGB|2026-01-27|269.88|56|Cucuta|PayPal|2026-02-20|Bronze
TG-0005|Alejandro Cruz|alejandro.cruz5@mailinator.com|Camara WebCam HD Pro|2026-01-26|2433.21|28|Cartagena|PayPal|2026-02-15|Silver
TG-0006|Paula Martinez|paula.martinez6@mailinator.com|Drone SkyView 4K|2025-12-12|1658.57|18|Barranquilla|Credit Card|2026-01-01|Platinum
TG-0007|Valeria Cruz|valeria.cruz7@mailinator.com|Cargador Rapido 65W|2026-01-14|420.02|59|Cartagena|Credit Card|2026-03-08|Silver
TG-0008|Emilio Sanchez|emilio.sanchez8@mailinator.com|SSD Externo 1TB|2025-12-02|1164.24|33|Manizales|Debit Card|2026-05-14|Gold
TG-0009|Victoria Rodriguez|victoria.rodriguez9@mailinator.com|"Tablet AirView 11"""|2025-12-25|2057.35|42|Medellin|Debit Card|2026-04-06|Gold
TG-0010|Camila Morales|camila.morales10@mailinator.com|Auriculares NoiseCancel Pro|2026-06-11|2213.54|63|Cartagena|Debit Card|2026-07-10|Silver
TG-0011|Alejandro Castro|alejandro.castro11@mailinator.com|Teclado Mecanico RGB|2026-02-21|1871.57|46|Barranquilla|Debit Card|2026-06-03|Platinum
TG-0012|Valentina Rodriguez|valentina.rodriguez12@mailinator.com|Parlante Bluetooth BassBoom|2025-10-06|395.65|27|Medellin|Bank Transfer|2026-05-10|Platinum
TG-0013|Tomas Cruz|tomas.cruz13@mailinator.com|SSD Externo 1TB|2025-07-22|2428.15|45|Medellin|PayPal|2026-07-05|Gold
TG-0014|Santiago Torres|santiago.torres14@mailinator.com|Camara WebCam HD Pro|2025-07-18|408.85|68|Cali|Credit Card|2025-11-29|Gold
TG-0015|Renata Ortiz|renata.ortiz15@mailinator.com|Consola GameStation Mini|2025-10-07|395.64|38|Manizales|Credit Card|2026-07-10|Gold
TG-0016|Julian Garcia|julian.garcia16@mailinator.com|"Laptop UltraBook 14"""|2025-12-21|2323.87|27|Barranquilla|Credit Card|2026-02-20|Bronze
TG-0017|Alejandro Morales|alejandro.morales17@mailinator.com|Auriculares NoiseCancel Pro|2026-04-15|2445.30|21|Pereira|Debit Card|2026-05-01|Gold
TG-0018|Daniela Romero|daniela.romero18@mailinator.com|Smartwatch FitTrack 3|2026-04-19|2411.47|67|Cartagena|Bank Transfer|2026-07-16|Gold
TG-0019|Gabriela Ortiz|gabriela.ortiz19@mailinator.com|Teclado Mecanico RGB|2025-11-09|316.56|70|Bogota|Debit Card|2025-11-25|Silver
TG-0020|Sofia Martinez|sofia.martinez20@mailinator.com|Smartphone Pixel X|2025-08-02|584.68|20|Manizales|Debit Card|2026-01-18|Gold
TG-0021|Felipe Morales|felipe.morales21@mailinator.com|"Monitor UltraWide 27"""|2026-05-05|1355.45|40|Barranquilla|Bank Transfer|2026-07-17|Platinum
TG-0022|Camila Hernandez|camila.hernandez22@mailinator.com|Mouse Inalambrico ErgoPlus|2026-01-14|1652.90|25|Pereira|Credit Card|2026-05-02|Bronze
TG-0023|Mateo Gomez|mateo.gomez23@mailinator.com|Smartwatch FitTrack 3|2025-09-10|2004.66|56|Barranquilla|Bank Transfer|2026-01-15|Silver
TG-0024|Diego Gonzalez|diego.gonzalez24@mailinator.com|Consola GameStation Mini|2025-08-24|1165.16|48|Manizales|Credit Card|2026-04-07|Bronze
TG-0025|Renata Castro|renata.castro25@mailinator.com|Mouse Inalambrico ErgoPlus|2025-11-15|2422.98|14|Pereira|Bank Transfer|2025-12-27|Silver
